enc_10L_upernet_r18_512x1024_20k_cityscapes_ade20k, 0, 0.6373, 0.7266
enc_10L_upernet_r18_512x1024_20k_cityscapes_ade20k, 1, 0.6422, 0.7337
enc_10L_upernet_r18_512x1024_20k_cityscapes_ade20k, 2, 0.6409, 0.733
enc_10L_upernet_r18_512x512_20k_voc12aug_ade20k, 0, 0.7212, 0.8156
enc_10L_upernet_r18_512x512_20k_voc12aug_ade20k, 1, 0.7174, 0.8148
enc_10L_upernet_r18_512x512_20k_voc12aug_ade20k, 2, 0.7217, 0.8246
enc_10L_upernet_r18_512x512_20k_voc12aug_cityscapes, 0, 0.489, 0.631
enc_10L_upernet_r18_512x512_20k_voc12aug_cityscapes, 1, 0.4892, 0.6256
enc_10L_upernet_r18_512x512_20k_voc12aug_cityscapes, 2, 0.4867, 0.634
enc_5L_upernet_r18_512x1024_20k_cityscapes_ade20k, 0, 0.622, 0.723
enc_5L_upernet_r18_512x1024_20k_cityscapes_ade20k, 1, 0.6267, 0.7296
enc_5L_upernet_r18_512x1024_20k_cityscapes_ade20k, 2, 0.625, 0.726
enc_5L_upernet_r18_512x512_20k_voc12aug_ade20k, 0, 0.7203, 0.8161
enc_5L_upernet_r18_512x512_20k_voc12aug_ade20k, 1, 0.719, 0.8195
enc_5L_upernet_r18_512x512_20k_voc12aug_ade20k, 2, 0.7211, 0.8234
enc_5L_upernet_r18_512x512_20k_voc12aug_cityscapes, 0, 0.4805, 0.6166
enc_5L_upernet_r18_512x512_20k_voc12aug_cityscapes, 1, 0.4795, 0.611
enc_5L_upernet_r18_512x512_20k_voc12aug_cityscapes, 2, 0.478, 0.6226
filt_10L_upernet_r18_512x1024_20k_cityscapes_ade20k, 0, 0.618, 0.7104
filt_10L_upernet_r18_512x1024_20k_cityscapes_ade20k, 1, 0.6232, 0.7149
filt_10L_upernet_r18_512x1024_20k_cityscapes_ade20k, 2, 0.623, 0.7169
filt_10L_upernet_r18_512x512_20k_voc12aug, 0, 0.4789, 0.6244
filt_10L_upernet_r18_512x512_20k_voc12aug, 1, 0.4804, 0.6207
filt_10L_upernet_r18_512x512_20k_voc12aug, 2, 0.4806, 0.6169
filt_10L_upernet_r18_512x512_20k_voc12aug_ade20k, 0, 0.7206, 0.8171
filt_10L_upernet_r18_512x512_20k_voc12aug_ade20k, 1, 0.7149, 0.8103
filt_10L_upernet_r18_512x512_20k_voc12aug_ade20k, 2, 0.7178, 0.8191
filt_5L_upernet_r18_512x1024_20k_cityscapes_ade20k, 0, 0.6023, 0.7022
filt_5L_upernet_r18_512x1024_20k_cityscapes_ade20k, 1, 0.6073, 0.7089
filt_5L_upernet_r18_512x1024_20k_cityscapes_ade20k, 2, 0.6079, 0.7091
filt_5L_upernet_r18_512x512_20k_voc12aug, 0, 0.4679, 0.605
filt_5L_upernet_r18_512x512_20k_voc12aug, 1, 0.4716, 0.607
filt_5L_upernet_r18_512x512_20k_voc12aug, 2, 0.4716, 0.6011
filt_5L_upernet_r18_512x512_20k_voc12aug_ade20k, 0, 0.718, 0.8149
filt_5L_upernet_r18_512x512_20k_voc12aug_ade20k, 1, 0.7162, 0.8166
filt_5L_upernet_r18_512x512_20k_voc12aug_ade20k, 2, 0.7187, 0.8156
full_upernet_r18_512x1024_20k_cityscapes_ade20k, 0, 0.7315, 0.8105
full_upernet_r18_512x1024_20k_cityscapes_ade20k, 1, 0.7309, 0.8123
